,NFLX,AAPL,BAC,BA,CSCO,CME,DE
2011-03-03 00:00:00,29.0528564453,44.4671554565,12.7893238068,57.1668548584,14.2096176147,41.4073295593,74.9761581421
2011-03-04 00:00:00,30.1028575897,44.5215835571,12.6548891068,57.2386207581,14.1099300385,40.9584999084,74.7495346069
2011-03-07 00:00:00,29.6285705566,43.9477462769,12.5742273331,56.5051803589,13.9565668106,40.8335380554,73.1468887329
2011-03-08 00:00:00,27.9214286804,43.9972229004,13.1657466888,57.4299316406,13.9718933105,40.9739379883,74.0696334839
2011-03-09 00:00:00,27.5699996948,43.5903320312,13.0761203766,57.4697875977,13.8952131271,40.4811782837,72.701713562
2011-03-10 00:00:00,28.5742855072,42.873046875,12.7803621292,56.8320465088,13.7418441772,39.9519844055,70.8643417358
2011-03-11 00:00:00,29.2199993134,43.5309715271,12.8879098892,57.1110649109,13.7648468018,39.9020462036,71.05859375
2011-03-14 00:00:00,28.7428569794,43.7251358032,12.7534780502,56.3935928345,13.6881608963,39.3309783936,70.9290771484
2011-03-15 00:00:00,31.0157146454,42.7196846008,12.5114917755,55.5565338135,13.3354177475,38.5965919495,70.9695587158
2011-03-16 00:00:00,30.5485706329,40.8126869202,12.2695064545,53.9621429443,13.0746850967,37.8392295837,70.3462982178
2011-03-17 00:00:00,30.5571422577,41.3852767944,12.5294189453,54.4484367371,13.0363483429,38.7707290649,72.3455429077
2011-03-18 00:00:00,29.9142856598,40.8943023682,12.5831890106,55.0861854553,13.1437063217,38.5817298889,72.9283294678
2011-03-21 00:00:00,30.405714035,41.9615859985,12.5921516418,56.7602958679,13.3354177475,39.143321991,74.1505584717
2011-03-22 00:00:00,31.6271419525,42.1965675354,12.4397954941,57.2784614563,13.3814258575,39.2742767334,73.6973190308
2011-03-23 00:00:00,32.722858429,41.9479866028,12.2336587906,57.972026825,13.4811162949,40.3421287537,74.0048522949
2011-03-24 00:00:00,32.7328567505,42.6628112793,12.0812978745,58.0039138794,13.312412262,40.2719345093,75.4618148804
2011-03-25 00:00:00,32.8585700989,43.4753265381,11.955824852,58.4662971497,13.2510623932,39.941192627,76.2793273926
2011-03-28 01:00:00,33.9028587341,43.3392829895,11.9827127457,58.4344024658,13.1820459366,39.8925857544,75.5184631348
2011-03-29 01:00:00,33.9114303589,43.403591156,11.9647865295,58.6895179749,13.4206008911,40.2327842712,76.3309249878
2011-03-30 01:00:00,33.9928588867,43.1154556274,12.0544071198,58.8330116272,13.3359518051,40.9388313293,76.737159729
2011-03-31 01:00:00,33.9685707092,43.1006011963,11.9468622208,58.9366340637,13.1974382401,40.7093391418,78.719581604
2011-04-01 01:00:00,34.5842857361,42.6121025085,11.9827127457,59.000415802,13.1127910614,41.0765342712,80.1088943481
2011-04-04 01:00:00,34.9599990845,42.1953315735,12.0454454422,58.9525718689,13.1281814575,41.1899261475,80.6288757324
2011-04-05 01:00:00,34.8899993896,41.9108772278,12.0723352432,58.3786048889,13.2513027191,41.1575393677,79.7920227051
2011-04-06 01:00:00,34.2814292908,41.8057518005,12.2963914871,58.7692337036,13.9054031372,41.6610870361,78.8171005249
2011-04-07 01:00:00,33.4228553772,41.8107070923,12.1978063583,59.2236404419,13.7822809219,41.3006362915,78.3783416748
2011-04-08 01:00:00,33.5514297485,41.4372215271,12.0812978745,58.569934845,13.5822029114,41.2236862183,77.9396133423
2011-04-11 01:00:00,32.5942840576,40.9103813171,12.0902585983,58.8011054993,13.4436845779,41.0400810242,77.1758956909
